hs6_code,ucc_code,ucc_description,map_weight,confidence_level
030432,050410,LAMB AND ORGAN MEATS,0.1762,MEDIUM
030433,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030433,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030433,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030439,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030439,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030439,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030441,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030441,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030441,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030442,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030442,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030442,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030443,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030443,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030443,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030444,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030444,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030444,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030445,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030445,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030445,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030447,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM-HIGH
030447,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030447,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM-HIGH
030449,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030449,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030449,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030451,050410,LAMB AND ORGAN MEATS,0.3143,MEDIUM
030451,070110,CANNED FISH AND SEAFOOD,0.2286,MEDIUM-HIGH
030451,070230,FRESH FISH AND SHELLFISH,0.2286,MEDIUM-HIGH
030451,070240,FROZEN FISH AND SHELLFISH,0.2286,MEDIUM-HIGH
030452,050410,LAMB AND ORGAN MEATS,0.3991,MEDIUM
030452,070110,CANNED FISH AND SEAFOOD,0.2003,MEDIUM
030452,070230,FRESH FISH AND SHELLFISH,0.2003,MEDIUM
030452,070240,FROZEN FISH AND SHELLFISH,0.2003,MEDIUM
030453,050410,LAMB AND ORGAN MEATS,0.3074,MEDIUM
030453,070110,CANNED FISH AND SEAFOOD,0.2309,MEDIUM-LOW
030453,070230,FRESH FISH AND SHELLFISH,0.2309,MEDIUM-LOW
030453,070240,FROZEN FISH AND SHELLFISH,0.2309,MEDIUM-LOW
030454,070110,CANNED FISH AND SEAFOOD,0.3333,MEDIUM
030454,070230,FRESH FISH AND SHELLFISH,0.3333,MEDIUM
030454,070240,FROZEN FISH AND SHELLFISH,0.3333,MEDIUM
030459,050410,LAMB AND ORGAN MEATS,0.3893,MEDIUM
