level1,level2,description,ucc_code
1,7,AUTO/TRUCK RENTAL,520516
1,7,"AUTO/TRUCK RENTAL, OUT-OF-TOWN TRIPS",520517
1,6,"PARKING FEES IN HOME CITY, EXCLUDING RESIDENCE",520531
1,6,"PARKING FEES, OUT-OF-TOWN TRIPS",520532
1,5,TOLLS OR ELECTRONIC TOLL PASSES,520541
1,5,TOLLS ON OUT-OF-TOWN TRIPS,520542
1,5,TOWING CHARGES,520550
1,4,DOCKING AND LANDING FEES,520901
1,7,MOTORCYCLE RENTAL,520902
1,5,RENTAL NONCAMPER TRAILER,520904
1,7,"MOTORCYCLE RENTAL, OUT-OF-TOWN TRIPS",520905
1,5,BOAT AND TRAILER RENTAL OUT-OF-TOWN TRIPS,520907
1,4,AIRLINE FARES,530110
1,4,INTERCITY BUS FARES,530210
1,4,INTRACITY MASS TRANSIT FARES,530311
1,4,LOCAL TRANS. ON OUT-OF-TOWN TRIPS,530312
1,4,TAXI FARES AND LIMOUSINE SERVICES ON TRIPS,530411
1,4,TAXI FARES AND LIMOUSINE SERVICES,530412
1,4,INTERCITY TRAIN FARES,530510
1,4,SHIP FARES,530901
1,4,SCHOOL BUS,530902
1,4,PRESCRIPTION DRUGS,540000
1,4,EYEGLASSES AND CONTACT LENSES,550110
1,4,NONPRESCRIPTION DRUGS,550210
1,4,TOPICALS AND DRESSINGS,550310
1,4,MEDICAL EQUIPMENT FOR GENERAL USE,550320
1,4,SUPPORTIVE AND CONVALESCENT MEDICAL EQUIPMENT,550330
1,4,HEARING AIDS,550340
1,4,NONPRESCRIPTION VITAMINS,550410
1,4,PHYSICIAN''S SERVICES,560110
1,4,DENTAL SERVICES,560210
1,4,EYECARE SERVICES,560310
1,4,"LAB TESTS, X-RAYS",560330
1,4,SERVICE BY PROFESSIONALS OTHER THAN PHYSICIAN (THRU,560400
1,4,NON PHYSICIAN SERVICES INSIDE HOME,560410
1,4,NON PHYSICIAN SERVICES OUTSIDE HOME (NEW UCC Q20172),560420
1,4,HOSPITAL ROOM AND SERVICES,570111
1,4,CARE IN CONVALESCENT OR NURSING HOME,570220
1,4,OTHER MEDICAL CARE SERVICES,570230
1,4,MEDICAL CARE IN RETIREMENT COMMUNITY,570240
1,4,RENTAL OF MEDICAL EQUIPMENT,570901
